Date,Open,High,Low,Close,Volume,Symbol
2024-02-20,3916.35009765625,3919.85009765625,3903.989990234375,3916.35009765625,0.0,COP=X
2024-02-21,3916.889892578125,3933.97998046875,3913.0,3916.889892578125,0.0,COP=X
2024-02-22,3923.449951171875,3939.570068359375,3919.330078125,3923.449951171875,0.0,COP=X
2024-02-23,3926.8798828125,3956.070068359375,3925.429931640625,3926.8798828125,0.0,COP=X
2024-02-24,,,,,,COP=X
2024-02-25,,,,,,COP=X
2024-02-26,3879.02001953125,3968.050048828125,3923.409912109375,3879.02001953125,0.0,COP=X
2024-02-27,3959.7099609375,3963.0,3928.6298828125,3959.7099609375,0.0,COP=X
2024-02-28,3929.9599609375,3938.030029296875,3928.139892578125,3929.9599609375,0.0,COP=X
2024-02-29,3923.18994140625,3940.260009765625,3922.89990234375,3923.18994140625,0.0,COP=X
2024-03-01,3926.1298828125,3944.64990234375,3922.35009765625,3926.1298828125,0.0,COP=X
2024-03-02,,,,,,COP=X
2024-03-03,,,,,,COP=X
2024-03-04,3867.059814453125,3962.60009765625,3940.550048828125,3867.059814453125,0.0,COP=X
2024-03-05,3943.610107421875,3946.580078125,3939.56005859375,3943.610107421875,0.0,COP=X
2024-03-06,3942.97998046875,3942.97998046875,3924.97998046875,3942.97998046875,0.0,COP=X
2024-03-07,3921.929931640625,3925.25,3913.7900390625,3921.929931640625,0.0,COP=X
2024-03-08,3914.010009765625,3915.0,3902.280029296875,3914.010009765625,0.0,COP=X
2024-03-09,,,,,,COP=X
2024-03-10,,,,,,COP=X
2024-03-11,3865.880859375,3910.6298828125,3894.929931640625,3865.880859375,0.0,COP=X
2024-03-12,3907.25,3918.010009765625,3907.25,3907.25,0.0,COP=X
2024-03-13,3901.1201171875,3919.800048828125,3901.110107421875,3901.1201171875,0.0,COP=X
2024-03-14,3901.25,3905.320068359375,3899.85009765625,3901.25,0.0,COP=X
2024-03-15,3895.199951171875,3909.4599609375,3889.5,3895.199951171875,0.0,COP=X
2024-03-16,,,,,,COP=X
2024-03-17,,,,,,COP=X
2024-03-18,3848.223388671875,3892.3798828125,3877.669921875,3848.223388671875,0.0,COP=X
2024-03-19,3887.8798828125,3908.25,3886.419921875,3887.8798828125,0.0,COP=X
2024-03-20,3873.929931640625,3888.0400390625,3873.0,3873.929931640625,0.0,COP=X
2024-03-21,3878.860107421875,3882.340087890625,3857.3701171875,3878.860107421875,0.0,COP=X
2024-03-22,3887.85009765625,3913.1201171875,3885.93994140625,3887.85009765625,0.0,COP=X
2024-03-23,,,,,,COP=X
2024-03-24,,,,,,COP=X
2024-03-25,3838.925048828125,3997.25,3854.303955078125,3838.925048828125,0.0,COP=X
2024-03-26,3946.1201171875,3949.080078125,3863.75,3946.1201171875,0.0,COP=X
2024-03-27,3855.5,3877.35009765625,3836.25,3855.5,0.0,COP=X
2024-03-28,3846.3798828125,3861.219970703125,3814.47119140625,3846.3798828125,0.0,COP=X
2024-03-29,3857.25,3863.64990234375,3825.1943359375,3857.25,0.0,COP=X
2024-03-30,,,,,,COP=X
2024-03-31,,,,,,COP=X
2024-04-01,3859.449951171875,3863.75,3845.300048828125,3859.449951171875,0.0,COP=X
2024-04-02,3861.06005859375,3876.320068359375,3839.85009765625,3861.06005859375,0.0,COP=X
2024-04-03,3830.25,3837.47998046875,3795.3798828125,3830.25,0.0,COP=X
2024-04-04,3811.610107421875,3811.610107421875,3760.97998046875,3811.610107421875,0.0,COP=X
2024-04-05,3768.25,3771.31005859375,3753.570068359375,3768.25,0.0,COP=X
2024-04-06,,,,,,COP=X
2024-04-07,,,,,,COP=X
2024-04-08,3773.340087890625,3786.469970703125,3756.070068359375,3773.340087890625,0.0,COP=X
2024-04-09,3771.35009765625,3774.179931640625,3763.3798828125,3771.35009765625,0.0,COP=X
2024-04-10,3765.25,3828.300048828125,3768.3701171875,3765.25,0.0,COP=X
2024-04-11,3802.25,3826.47998046875,3788.929931640625,3802.25,0.0,COP=X
2024-04-12,3822.25,3876.760009765625,3822.25,3822.25,0.0,COP=X
2024-04-13,,,,,,COP=X
2024-04-14,,,,,,COP=X
2024-04-15,3813.10009765625,3882.780029296875,3813.10009765625,3813.10009765625,0.0,COP=X
2024-04-16,3884.25,3946.090087890625,3882.139892578125,3884.25,0.0,COP=X
2024-04-17,3921.5,3921.5,3867.989990234375,3921.5,0.0,COP=X
2024-04-18,3890.39990234375,3932.1298828125,3883.840087890625,3890.39990234375,0.0,COP=X
2024-04-19,3926.64990234375,3960.760009765625,3911.840087890625,3926.64990234375,0.0,COP=X
2024-04-20,,,,,,COP=X
2024-04-21,,,,,,COP=X
2024-04-22,3912.6201171875,3939.56005859375,3912.6201171875,3912.6201171875,0.0,COP=X
2024-04-23,3909.85009765625,3921.72998046875,3898.610107421875,3909.85009765625,0.0,COP=X
2024-04-24,3903.199951171875,3938.659912109375,3903.199951171875,3903.199951171875,0.0,COP=X
2024-04-25,3937.5,3967.6298828125,3935.52001953125,3937.5,0.0,COP=X
2024-04-26,3956.010009765625,3956.02001953125,3930.18994140625,3956.010009765625,0.0,COP=X
2024-04-27,,,,,,COP=X
2024-04-28,,,,,,COP=X
2024-04-29,3963.489990234375,3963.489990234375,3879.85009765625,3963.489990234375,0.0,COP=X
2024-04-30,3907.260009765625,3907.260009765625,3855.989990234375,3907.260009765625,0.0,COP=X
2024-05-01,3907.75,3914.2099609375,3898.030029296875,3907.75,0.0,COP=X
2024-05-02,3912.25,3912.25,3886.0,3912.25,0.0,COP=X
2024-05-03,3895.75,3908.35009765625,3862.5,3895.75,0.0,COP=X
2024-05-04,,,,,,COP=X
2024-05-05,,,,,,COP=X
2024-05-06,3886.2900390625,3899.5400390625,3840.615966796875,3886.2900390625,0.0,COP=X
2024-05-07,3892.75,3893.550048828125,3882.929931640625,3892.75,0.0,COP=X
2024-05-08,3887.25,3909.27001953125,3884.56005859375,3887.25,0.0,COP=X
2024-05-09,3896.25,3914.5,3894.8701171875,3896.25,0.0,COP=X
2024-05-10,3888.760009765625,3899.85009765625,3879.260009765625,3888.760009765625,0.0,COP=X
2024-05-11,,,,,,COP=X
2024-05-12,,,,,,COP=X
2024-05-13,3889.110107421875,3889.3701171875,3885.760009765625,3889.110107421875,0.0,COP=X
2024-05-14,3886.949951171875,3881.93994140625,3832.640625,3886.949951171875,0.0,COP=X
2024-05-15,3851.75,3858.0,3822.340087890625,3851.75,0.0,COP=X
2024-05-16,3822.31005859375,3832.22998046875,3821.8798828125,3822.31005859375,0.0,COP=X
2024-05-17,3826.3798828125,3835.22998046875,3823.889892578125,3826.3798828125,0.0,COP=X
2024-05-18,,,,,,COP=X
2024-05-19,,,,,,COP=X
2024-05-20,3805.419921875,3834.889892578125,3805.419921875,3805.419921875,0.0,COP=X
